Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
1,19,Male,Undergraduate,Turkey,3.8,Twitter,No,7.6,8,Single,3,7
2,20,Female,Undergraduate,Turkey,4.8,Facebook,Yes,6.2,7,Single,3,6
3,21,Female,Undergraduate,Australia,6.3,Instagram,Yes,6.3,5,Complicated,4,8
4,21,Male,Graduate,Switzerland,5.4,Facebook,Yes,5.8,5,In Relationship,4,8
5,21,Male,Undergraduate,Switzerland,7.2,Instagram,Yes,5.4,6,Single,3,8
6,19,Female,Graduate,Canada,4.0,LinkedIn,Yes,6.2,6,In Relationship,3,7
7,21,Male,Undergraduate,UAE,3.8,Instagram,Yes,8.4,7,Single,2,5
8,20,Male,Graduate,Germany,4.9,WhatsApp,No,7.2,7,In Relationship,2,6
9,21,Female,Graduate,Nepal,2.5,Facebook,Yes,8.7,7,Single,2,5
10,18,Female,Graduate,Belgium,2.9,Instagram,No,8.2,8,Single,1,4
11,19,Female,Undergraduate,UK,2.2,TikTok,No,9.1,8,In Relationship,1,4
12,19,Male,Graduate,India,3.1,Instagram,No,8.2,7,In Relationship,2,5
13,19,Female,Graduate,Russia,3.7,Instagram,No,8.0,8,Single,1,4
14,19,Female,Graduate,China,8.4,Instagram,Yes,4.7,4,In Relationship,5,9
15,19,Female,Undergraduate,Poland,5.8,Instagram,Yes,5.8,6,Single,3,7
16,19,Male,Undergraduate,Mexico,4.6,VKontakte,Yes,7.9,7,Single,3,6
17,22,Female,Graduate,Turkey,4.2,WhatsApp,Yes,5.7,7,Single,3,6
18,19,Female,Graduate,Canada,5.3,TikTok,No,5.9,7,Single,2,5
19,18,Male,High School,India,6.4,TikTok,Yes,6.2,5,Single,4,8
20,21,Male,Graduate,Russia,6.3,Instagram,Yes,4.9,5,In Relationship,4,8
21,20,Male,Undergraduate,Nepal,4.7,Instagram,Yes,6.6,6,In Relationship,3,7
22,20,Male,Undergraduate,USA,4.6,YouTube,Yes,6.9,7,Single,2,5
23,22,Male,High School,Canada,6.1,WhatsApp,Yes,6.7,5,In Relationship,4,7
24,19,Male,High School,Austria,4.8,TikTok,Yes,7.2,6,Single,3,7
25,19,Male,Graduate,Switzerland,6.2,Instagram,Yes,5.8,5,In Relationship,3,7
26,22,Female,Graduate,Russia,4.7,Instagram,Yes,5.5,7,Single,2,6
27,21,Female,Graduate,USA,6.2,LINE,Yes,5.3,5,Single,3,8
28,19,Female,Graduate,India,4.8,Facebook,Yes,7.3,6,Single,3,6
29,19,Female,Graduate,Canada,5.5,Facebook,Yes,4.9,5,In Relationship,4,8
30,20,Male,Undergraduate,Russia,4.4,Snapchat,Yes,7.7,6,Single,4,7
31,19,Female,Graduate,India,5.7,KakaoTalk,Yes,6.8,6,Single,4,7
32,19,Female,Undergraduate,Pakistan,5.5,Instagram,Yes,6.7,6,Single,3,7
33,20,Female,Graduate,Mexico,5.8,Instagram,Yes,5.5,5,In Relationship,4,8
34,21,Female,Undergraduate,Trinidad,4.6,KakaoTalk,Yes,6.1,6,In Relationship,2,7
35,22,Female,Undergraduate,Poland,6.3,LINE,No,5.7,5,Single,4,9
36,19,Female,Graduate,Sri Lanka,4.3,TikTok,Yes,7.3,6,In Relationship,3,7
37,21,Female,High School,Switzerland,3.2,Instagram,Yes,7.0,7,Single,2,7
38,22,Male,Undergraduate,USA,5.9,TikTok,No,5.8,6,Single,4,7
39,22,Male,Undergraduate,Switzerland,6.1,Twitter,Yes,5.8,5,Single,4,8
40,20,Male,Graduate,Brazil,4.4,Instagram,Yes,7.9,8,In Relationship,2,5
41,19,Male,Undergraduate,USA,6.8,TikTok,Yes,6.3,6,Single,3,7
42,20,Female,Graduate,Germany,5.5,Instagram,Yes,7.4,6,In Relationship,3,7
43,21,Female,Graduate,South Korea,4.8,TikTok,No,5.9,7,Single,3,7
44,23,Female,Graduate,Japan,4.0,Instagram,Yes,8.1,7,Single,2,5
45,21,Male,Undergraduate,Japan,5.8,Instagram,Yes,7.8,5,Single,4,7
46,19,Female,Undergraduate,Japan,4.6,Instagram,Yes,6.8,6,In Relationship,3,7
47,19,Female,Graduate,Spain,5.8,Facebook,Yes,4.7,5,Single,4,9
48,19,Male,Graduate,Mexico,6.1,Facebook,Yes,6.2,5,In Relationship,4,8
49,21,Male,Undergraduate,Australia,4.0,Facebook,No,8.2,7,In Relationship,2,5
50,20,Male,Undergraduate,Canada,2.5,TikTok,No,8.6,8,Single,1,3
51,20,Female,Undergraduate,Belgium,3.8,Instagram,Yes,7.9,7,Single,2,4
52,21,Male,Undergraduate,India,6.5,Instagram,Yes,4.1,6,Single,3,7
53,20,Male,Graduate,Italy,7.4,Instagram,Yes,5.1,5,Single,4,9
54,20,Male,Undergraduate,Pakistan,3.6,Instagram,Yes,7.2,8,Single,1,4
55,21,Female,Undergraduate,UK,4.5,WhatsApp,Yes,5.9,7,Single,2,5
56,23,Female,High School,Kosovo,3.8,LinkedIn,Yes,7.2,7,Single,3,5
57,20,Female,Undergraduate,Singapore,4.7,Instagram,Yes,7.2,6,Single,2,7
58,20,Male,Graduate,Bahrain,5.3,Instagram,No,6.7,5,Single,4,8
59,21,Male,Graduate,Italy,6.3,Instagram,Yes,6.7,5,Single,3,8
60,18,Male,Undergraduate,Ireland,4.4,Instagram,Yes,7.4,6,Single,2,7
61,21,Male,Undergraduate,Italy,4.8,Facebook,Yes,7.8,6,Single,4,7
62,22,Male,Undergraduate,Bangladesh,3.2,Instagram,Yes,8.8,8,Single,2,3
63,20,Male,Graduate,Turkey,4.5,Instagram,Yes,6.6,6,Single,3,7
64,21,Male,Graduate,Switzerland,4.8,Instagram,Yes,6.5,6,In Relationship,4,7
65,22,Male,Undergraduate,Italy,4.2,Instagram,No,7.5,7,Single,2,5
66,21,Female,Undergraduate,Sri Lanka,3.6,Facebook,Yes,7.6,8,In Relationship,2,5
67,19,Male,Undergraduate,Russia,5.3,Instagram,Yes,7.3,7,In Relationship,2,5
68,22,Female,Graduate,UK,4.5,Instagram,Yes,7.4,6,Single,3,7
69,24,Female,Graduate,Thailand,3.8,Instagram,No,8.1,7,In Relationship,2,4
70,22,Male,Graduate,Ireland,4.9,WhatsApp,Yes,7.6,6,Single,3,7
71,21,Female,Undergraduate,Maldives,3.8,Facebook,Yes,7.2,7,In Relationship,2,7
72,20,Male,Graduate,China,4.9,Instagram,Yes,6.5,7,Single,3,7
73,19,Male,Graduate,Japan,4.5,TikTok,Yes,7.2,6,Single,3,7
74,20,Male,Undergraduate,Paraguay,5.6,Instagram,Yes,5.9,5,Single,4,8
75,22,Female,Undergraduate,Sri Lanka,4.2,Instagram,Yes,6.6,6,In Relationship,3,7
76,22,Male,Undergraduate,India,6.9,TikTok,Yes,5.1,4,Single,4,9
77,20,Male,Undergraduate,Hungary,4.0,Instagram,No,7.3,7,Single,2,5
78,21,Female,Undergraduate,Turkey,5.0,Instagram,No,7.4,7,In Relationship,2,5
79,19,Female,Undergraduate,Ireland,5.4,LINE,Yes,7.0,5,Single,3,8
80,22,Male,Graduate,France,4.2,Facebook,No,7.8,8,Single,2,4
81,20,Female,Undergraduate,Spain,4.8,WhatsApp,Yes,6.2,6,In Relationship,3,7
82,21,Male,Graduate,UK,5.5,Instagram,Yes,6.4,6,Complicated,4,8
83,24,Male,Graduate,Nepal,4.4,TikTok,No,7.6,8,In Relationship,2,5
84,20,Female,Graduate,Maldives,6.3,TikTok,Yes,6.5,6,In Relationship,3,7
85,19,Male,Undergraduate,Denmark,3.3,TikTok,Yes,7.6,8,Single,2,4
86,20,Male,Graduate,Netherlands,3.3,Instagram,Yes,7.3,7,Single,2,5
87,20,Female,Graduate,Sri Lanka,3.7,Instagram,No,8.7,7,In Relationship,2,5
88,21,Female,Graduate,Sri Lanka,5.7,Instagram,Yes,6.1,6,Single,2,7
89,23,Female,Graduate,Spain,5.4,Twitter,Yes,6.5,7,In Relationship,2,7
90,19,Female,Graduate,Russia,6.7,Instagram,Yes,5.6,4,In Relationship,5,9
91,19,Male,Undergraduate,Italy,4.3,Facebook,Yes,7.1,6,In Relationship,3,7
92,19,Male,Undergraduate,Canada,2.8,Instagram,No,8.1,8,Single,1,4
