Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
1,24,Male,High School,Vietnam,3.8,Instagram,No,7.9,7,In Relationship,3,5
2,21,Female,Undergraduate,India,3.9,KakaoTalk,No,7.9,8,Single,2,3
3,22,Female,Undergraduate,Albania,4.6,Instagram,No,6.7,9,Single,2,4
4,24,Female,Graduate,Israel,7.2,YouTube,Yes,5.6,5,Single,3,7
5,20,Male,High School,Poland,2.4,TikTok,No,8.7,9,Single,1,2
6,22,Male,Graduate,Philippines,6.5,WhatsApp,Yes,6.0,6,In Relationship,4,7
7,22,Female,Graduate,Latvia,3.2,VKontakte,No,8.0,8,Single,2,3
8,24,Male,Undergraduate,Hungary,7.0,Facebook,Yes,6.7,6,Single,4,7
9,19,Male,Undergraduate,South Korea,3.4,KakaoTalk,No,7.9,9,Single,1,3
10,20,Female,Undergraduate,Uruguay,7.1,Twitter,Yes,6.4,6,Single,5,9
11,24,Male,Undergraduate,UK,2.6,TikTok,No,8.1,9,Single,2,3
12,20,Male,Undergraduate,Cyprus,4.5,WhatsApp,No,6.6,8,Single,2,5
13,20,Male,High School,Uzbekistan,8.3,TikTok,Yes,5.6,5,In Relationship,5,9
14,22,Male,High School,Bosnia,7.7,Facebook,Yes,6.0,6,Single,2,7
15,21,Male,Graduate,Turkey,2.1,Twitter,No,8.5,7,Single,1,3
16,20,Male,Undergraduate,Bosnia,8.3,YouTube,Yes,6.1,6,In Relationship,5,9
17,23,Male,Graduate,Andorra,7.2,TikTok,Yes,6.0,6,Single,4,7
18,22,Female,Undergraduate,Vietnam,7.5,Instagram,Yes,5.2,4,Single,4,8
19,19,Male,Graduate,Romania,6.7,LinkedIn,Yes,5.4,6,In Relationship,5,8
20,21,Female,Undergraduate,China,4.2,Twitter,No,7.3,6,In Relationship,2,4
21,23,Male,Undergraduate,Jamaica,2.9,YouTube,No,8.8,9,In Relationship,1,3
22,23,Female,Graduate,Monaco,7.3,YouTube,Yes,6.4,5,In Relationship,4,9
23,19,Female,Graduate,Japan,1.6,LinkedIn,No,8.7,8,In Relationship,2,3
24,21,Female,Undergraduate,Luxembourg,5.9,YouTube,Yes,6.9,7,Single,3,6
25,22,Female,Undergraduate,Ecuador,7.3,Snapchat,Yes,6.2,4,In Relationship,4,8
26,18,Male,High School,Bangladesh,4.0,TikTok,No,8.3,8,Single,2,4
27,21,Male,Graduate,Chile,5.7,TikTok,No,7.2,5,Single,3,6
28,19,Female,Graduate,Tajikistan,4.8,TikTok,No,7.5,8,Single,2,4
29,23,Female,Graduate,Germany,7.5,KakaoTalk,Yes,5.5,6,Single,4,7
30,22,Female,Undergraduate,Chile,6.9,LinkedIn,Yes,5.7,5,In Relationship,4,9
31,21,Female,Undergraduate,New Zealand,2.5,YouTube,No,8.1,7,Single,1,2
32,18,Male,Graduate,Kuwait,4.3,Facebook,Yes,7.2,7,In Relationship,2,5
33,18,Female,Graduate,Norway,5.8,Snapchat,Yes,7.4,7,In Relationship,3,5
34,20,Male,High School,Estonia,2.3,Facebook,No,8.5,8,Single,1,3
35,20,Female,Graduate,Portugal,8.4,TikTok,Yes,4.7,4,Single,5,9
36,24,Male,Undergraduate,Ireland,8.5,Twitter,Yes,4.9,4,Single,5,9
37,19,Female,Undergraduate,Brazil,4.0,WhatsApp,No,7.9,8,Single,3,4
38,21,Female,Graduate,Morocco,7.8,LinkedIn,Yes,6.1,4,Complicated,4,9
39,21,Male,Undergraduate,Latvia,7.4,Twitter,Yes,6.4,5,In Relationship,4,8
40,24,Female,Graduate,Taiwan,2.8,KakaoTalk,No,7.1,9,Single,0,2
41,23,Female,High School,Kosovo,5.7,LinkedIn,No,6.7,5,Single,4,6
42,23,Male,High School,Iceland,3.3,YouTube,No,7.9,7,Single,3,4
43,24,Male,Graduate,Luxembourg,3.0,TikTok,No,7.6,7,Single,3,4
44,23,Male,Graduate,Kazakhstan,6.2,YouTube,No,6.0,6,Single,3,6
45,20,Male,Undergraduate,Russia,1.8,YouTube,No,8.0,9,In Relationship,2,2
46,21,Female,Graduate,Malta,3.1,YouTube,No,8.2,6,In Relationship,2,4
47,24,Male,Undergraduate,Bahrain,2.2,TikTok,No,8.7,8,Single,2,2
48,21,Male,Undergraduate,Bhutan,2.7,TikTok,No,7.8,7,Complicated,2,4
49,18,Female,High School,Spain,1.9,TikTok,No,8.3,8,In Relationship,2,4
50,20,Female,Undergraduate,Australia,2.1,WeChat,No,8.4,9,In Relationship,1,2
51,22,Female,High School,South Africa,5.5,TikTok,Yes,6.7,5,Single,4,6
52,20,Female,Graduate,Oman,8.2,LinkedIn,Yes,5.4,5,Single,4,9
53,24,Male,Graduate,Singapore,1.5,TikTok,No,8.5,9,In Relationship,0,2
54,22,Male,Undergraduate,Greece,7.3,LINE,Yes,5.8,5,Single,3,7
55,18,Male,Undergraduate,Yemen,8.0,TikTok,Yes,4.9,6,Single,4,9
56,24,Female,High School,Canada,4.3,Twitter,No,7.5,9,Single,2,2
57,19,Male,Graduate,Portugal,2.4,Instagram,No,8.7,8,In Relationship,2,3
58,21,Male,Graduate,Malaysia,4.7,TikTok,Yes,8.0,7,In Relationship,2,5
59,18,Female,Undergraduate,Malaysia,7.2,LinkedIn,Yes,6.3,6,Complicated,4,7
60,21,Male,Undergraduate,Spain,5.3,Twitter,Yes,6.4,5,In Relationship,3,7
61,23,Female,Undergraduate,Brazil,5.8,TikTok,Yes,7.5,5,Complicated,4,8
62,19,Female,Graduate,Uruguay,3.3,Instagram,No,7.9,8,Complicated,3,4
63,19,Male,Undergraduate,Colombia,7.8,Instagram,Yes,5.8,5,Complicated,4,9
64,18,Female,Undergraduate,Chile,4.6,KakaoTalk,No,7.3,7,Complicated,2,4
65,19,Male,Graduate,India,2.2,YouTube,No,8.6,9,Complicated,2,3
66,22,Female,Undergraduate,Syria,3.1,KakaoTalk,No,7.7,9,Complicated,1,3
67,19,Male,Undergraduate,Maldives,5.8,Instagram,Yes,7.0,7,Single,4,7
68,21,Female,Undergraduate,Peru,7.6,Instagram,Yes,5.8,4,Single,4,8
69,21,Female,Graduate,Ecuador,7.2,YouTube,Yes,5.7,7,In Relationship,4,9
70,24,Female,Graduate,Vietnam,2.6,YouTube,No,7.7,7,Single,2,4
